118	1643983121263	-0.002	9.969	-0.036	noname
119	1643983121268	-0.007	9.967	-0.047	noname
120	1643983121272	-0.021	9.948	-0.007	noname
121	1643983121277	-0.002	9.955	0.003	noname
122	1643983121285	0.014	9.964	0	noname
123	1643983121286	-0.019	9.964	0.012	noname
124	1643983121293	0.034	9.974	0.027	noname
125	1643983121296	0.034	9.96	0.01	noname
126	1643983121302	0.048	9.943	0.041	noname
127	1643983121306	0.014	9.979	0.067	noname
128	1643983121314	0.024	9.96	0.077	noname
129	1643983121315	0.007	9.974	0.108	noname
130	1643983121322	0.034	9.96	0.122	noname
131	1643983121325	0.041	9.948	0.139	noname
132	1643983121329	0.05	9.945	0.13	noname
133	1643983121335	0.048	9.938	0.127	noname
134	1643983121339	0.029	9.964	0.087	noname
135	1643983121344	0.038	9.962	0.082	noname
136	1643983121349	0.036	9.943	0.091	noname
137	1643983121353	0.043	9.931	0.118	noname
138	1643983121358	0.022	9.955	0.098	noname
139	1643983121363	0.024	9.95	0.096	noname
140	1643983121367	0.034	9.94	0.089	noname
141	1643983121372	0.038	9.933	0.055	noname
142	1643983121377	0.084	9.957	0.015	noname
143	1643983121382	0.077	9.967	-0.04	noname
144	1643983121387	0.062	9.95	-0.028	noname
145	1643983121392	0.041	9.938	-0.004	noname
146	1643983121396	0.05	9.962	-0.05	noname
147	1643983121401	0.065	9.967	-0.028	noname
148	1643983121405	0.041	9.974	-0.05	noname
149	1643983121411	0.046	9.957	-0.047	noname
150	1643983121415	0.05	9.964	-0.052	noname
151	1643983121420	0.062	9.969	-0.028	noname
152	1643983121424	0.048	9.948	-0.021	noname
153	1643983121429	0.014	9.967	-0.004	noname
154	1643983121434	0.026	9.962	0.029	noname
155	1643983121439	-0.009	9.95	0.067	noname
156	1643983121444	-0.002	9.967	0.055	noname
157	1643983121449	-0.014	9.955	0.079	noname
158	1643983121453	-0.002	9.971	0.082	noname
159	1643983121458	0.007	9.957	0.089	noname
160	1643983121463	-0.012	9.964	0.091	noname
161	1643983121467	0.005	9.967	0.108	noname
162	1643983121471	-0.002	9.976	0.106	noname
163	1643983121475	-0.007	9.983	0.091	noname
164	1643983121480	0	9.95	0.077	noname
165	1643983121484	0.005	9.962	0.089	noname
166	1643983121489	0.005	9.955	0.053	noname
167	1643983121494	0.031	9.964	0.041	noname
168	1643983121499	0.007	9.976	0.063	noname
169	1643983121503	0.029	9.943	0.048	noname
170	1643983121507	0.026	9.95	0.041	noname
171	1643983121513	0.019	9.964	0.024	noname
172	1643983121516	0.012	9.976	0.015	noname
173	1643983121521	-0.005	9.952	0.02	noname
174	1643983121526	-0.026	9.95	0.01	noname
175	1643983121530	-0.012	9.957	0.01	noname
176	1643983121537	-0.012	9.969	-0.004	noname
177	1643983121542	-0.017	9.974	0.008	noname
178	1643983121546	0.017	9.993	-0.021	noname
179	1643983121552	-0.005	9.993	0.012	noname
180	1643983121556	-0.012	9.974	-0.004	noname
181	1643983121561	-0.045	9.952	0.01	noname
182	1643983121565	-0.074	9.957	0.024	noname
183	1643983121571	-0.079	9.962	0.065	noname
184	1643983121576	-0.06	9.964	0.089	noname
185	1643983121580	-0.038	9.938	0.113	noname
186	1643983121585	-0.029	9.924	0.134	noname
187	1643983121590	-0.055	9.957	0.134	noname
188	1643983121596	-0.057	9.945	0.158	noname
189	1643983121601	-0.043	9.957	0.106	noname
190	1643983121604	-0.057	9.955	0.087	noname
191	1643983121608	-0.029	9.948	0.039	noname
192	1643983121614	-0.043	9.962	0.022	noname
193	1643983121619	-0.024	9.967	0.01	noname
194	1643983121624	-0.021	9.96	-0.016	noname
195	1643983121628	-0.005	9.983	0	noname
196	1643983121633	-0.05	9.945	0	noname
197	1643983121637	-0.029	9.967	-0.004	noname
198	1643983121642	-0.029	9.952	-0.026	noname
199	1643983121647	-0.036	9.969	-0.038	noname
200	1643983121652	-0.05	9.962	-0.059	noname
201	1643983121656	-0.038	9.964	-0.093	noname
202	1643983121661	-0.033	9.967	-0.098	noname
203	1643983121665	-0.098	9.967	-0.079	noname
204	1643983121672	-0.072	9.969	-0.079	noname
205	1643983121675	-0.057	9.981	-0.076	noname
206	1643983121681	-0.057	9.983	-0.057	noname
207	1643983121684	-0.074	9.974	-0.007	noname
208	1643983121690	-0.062	9.962	0.027	noname
209	1643983121694	-0.079	9.952	0.075	noname
210	1643983121699	-0.086	9.96	0.118	noname
211	1643983121703	-0.086	9.967	0.146	noname
212	1643983121709	-0.057	9.945	0.175	noname
213	1643983121713	-0.041	9.94	0.187	noname
214	1643983121719	-0.053	9.964	0.173	noname
215	1643983121723	-0.067	9.964	0.13	noname
216	1643983121727	-0.026	9.945	0.13	noname
217	1643983121732	0.003	9.967	0.106	noname
218	1643983121737	-0.021	9.943	0.084	noname
219	1643983121743	-0.048	9.96	0.055	noname
220	1643983121746	-0.045	9.983	0.053	noname
221	1643983121752	-0.076	9.976	0.027	noname
222	1643983121756	-0.076	9.976	0.036	noname
223	1643983121760	-0.062	9.971	0.015	noname
224	1643983121766	-0.084	9.964	-0.007	noname
